Postnumre, kommuner og regioner, 1.1.2016		
		
Hele Landet		
		
postnumre	kommuner	regioner
1728 København V	101 København	1084 Hovedstaden
1729 København V	101 København	1084 Hovedstaden
1730 København V	101 København	1084 Hovedstaden
1731 København V	101 København	1084 Hovedstaden
1732 København V	101 København	1084 Hovedstaden
1733 København V	101 København	1084 Hovedstaden
1734 København V	101 København	1084 Hovedstaden
1735 København V	101 København	1084 Hovedstaden
1736 København V	101 København	1084 Hovedstaden
1737 København V	101 København	1084 Hovedstaden
1738 København V	101 København	1084 Hovedstaden
1739 København V	101 København	1084 Hovedstaden
1740 København V	101 København	1084 Hovedstaden
1741 København V	101 København	1084 Hovedstaden
1742 København V	101 København	1084 Hovedstaden
1743 København V	101 København	1084 Hovedstaden
1744 København V	101 København	1084 Hovedstaden
1745 København V	101 København	1084 Hovedstaden
1746 København V	101 København	1084 Hovedstaden
1747 København V	101 København	1084 Hovedstaden
1748 København V	101 København	1084 Hovedstaden
1749 København V	101 København	1084 Hovedstaden
1750 København V	101 København	1084 Hovedstaden
1751 København V	101 København	1084 Hovedstaden
1752 København V	101 København	1084 Hovedstaden
1753 København V	101 København	1084 Hovedstaden
1754 København V	101 København	1084 Hovedstaden
1755 København V	101 København	1084 Hovedstaden
1756 København V	101 København	1084 Hovedstaden
1757 København V	101 København	1084 Hovedstaden
1758 København V	101 København	1084 Hovedstaden
1759 København V	101 København	1084 Hovedstaden
1760 København V	101 København	1084 Hovedstaden
1761 København V	101 København	1084 Hovedstaden
1762 København V	101 København	1084 Hovedstaden
1763 København V	101 København	1084 Hovedstaden
1764 København V	101 København	1084 Hovedstaden
1765 København V	101 København	1084 Hovedstaden
1766 København V	101 København	1084 Hovedstaden
1767 København V	101 København	1084 Hovedstaden
1768 København V	101 København	1084 Hovedstaden
1769 København V	101 København	1084 Hovedstaden
1770 København V	101 København	1084 Hovedstaden
1771 København V	101 København	1084 Hovedstaden
1772 København V	101 København	1084 Hovedstaden
1773 København V	101 København	1084 Hovedstaden
1774 København V	101 København	1084 Hovedstaden
1775 København V	101 København	1084 Hovedstaden
1777 København V	101 København	1084 Hovedstaden
1778 København V	101 København	1084 Hovedstaden
1779 København V	101 København	1084 Hovedstaden
1780 København V	101 København	1084 Hovedstaden
1781 København V	101 København	1084 Hovedstaden
1782 København V	101 København	1084 Hovedstaden
1783 København V	101 København	1084 Hovedstaden
1784 København V	101 København	1084 Hovedstaden
1785 København V	101 København	1084 Hovedstaden
1786 København V	101 København	1084 Hovedstaden
1787 København V	101 København	1084 Hovedstaden
1788 København V	101 København	1084 Hovedstaden
1789 København V	101 København	1084 Hovedstaden
1790 København V	101 København	1084 Hovedstaden
1791 København V	101 København	1084 Hovedstaden
1792 København V	101 København	1084 Hovedstaden
1793 København V	101 København	1084 Hovedstaden
1794 København V	101 København	1084 Hovedstaden
1795 København V	101 København	1084 Hovedstaden
1796 København V	101 København	1084 Hovedstaden
1797 København V	101 København	1084 Hovedstaden
1798 København V	101 København	1084 Hovedstaden
1799 København V	101 København	1084 Hovedstaden
1800 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1801 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1802 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1803 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1804 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1805 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1806 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1807 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1808 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1809 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1810 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1811 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1812 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1813 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1814 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1815 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1816 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1817 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1818 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1819 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1820 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1821 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1822 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1823 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1824 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1825 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1826 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1827 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1828 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1829 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1830 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1831 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1832 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1833 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1834 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1835 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1836 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1837 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1838 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1839 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1840 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1841 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1842 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1843 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1844 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1845 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1846 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1847 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1848 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1849 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1850 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
1851 Frederiksberg C	147 Frederiksberg	1084 Hovedstaden
